OrganizationIdentifier,MonitoringLocationIdentifier,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,Type,NavStatus
21AKBCH,21AKBCH-AK551272-004,AK551272-004,North Kenai Beach site 4,60.549779999999998,-151.26804,1902030218,North Kenai Beach,AK_B_2030218_002,Beach,Navigable
21AKBCH,21AKBCH-AK802097-002,AK802097-002,South Kenai Beach site 2,60.546729999999997,-151.26318,1902030218,South Kenai Beach,AK_B_2030218_003,Beach,Navigable
21AKBCH,21AKBCH-AK802097-003,AK802097-003,South Kenai River Beach 3,60.543320000000001,-151.26532,1902030218,South Kenai Beach,AK_B_2030218_003,Beach,Navigable
21AKBCH,21AKBCH-AK909574,AK909574,Ketchikan - SP Higgins,55.448639999999997,-131.83136,1901010204,South Point Higgins Beach,AK_B_1010204_001,Beach,Navigable
21AKBCH,21AKBCH-AK998211,AK998211,Hoonah Beach-Inner Point Sophia,58.127777780000002,-135.4627778,1901021109,Cannery Point,AK_M_1021109_013,Marine,Navigable
AKBLM_FDO,AKBLM_FDO-15392000,15392000,Birch Creek Above Twelvemile Creek,65.392499999999998,-145.7125,1908040102,Ikhèenjik River,AK_R_8040102_012_002,River,Unknown
AKDECWQ,AKDECWQ-ANC01_HSLP,ANC01_HSLP,Anchorage 01,61.228484999999999,-149.9029694,1902040108,Anchorage Coast Area North,AK_M_2040108_007,Marine,Navigable
AKDECWQ,AKDECWQ-ANC02_HSLP,ANC02_HSLP,Anchorage 02,61.236087779999998,-149.8946228,1902040108,Anchorage Coast Area North,AK_M_2040108_007,Marine,Navigable
AKDECWQ,AKDECWQ-ANC03_HSLP,ANC03_HSLP,Anchorage 03,61.245262220000001,-149.8960003,1902040108,Anchorage Coast Area North,AK_M_2040108_007,Marine,Navigable
AKDECWQ,AKDECWQ-ANC04_HSLP,ANC04_HSLP,Anchorage 04,61.257404440000002,-149.9255067,1902040108,Knik Arm,AK_M_2040108_003,Marine,Navigable
AKDECWQ,AKDECWQ-ANC05_HSLP,ANC05_HSLP,Anchorage 05,61.238990829999999,-149.9255067,1902040108,Knik Arm,AK_M_2040108_003,Marine,Navigable
AKDECWQ,AKDECWQ-ANC06_HSLP,ANC06_HSLP,Anchorage 06,61.221002779999999,-149.9617919,1902040108,Knik Arm,AK_M_2040108_003,Marine,Navigable
AKDECWQ,AKDECWQ-AnchBact20-01,AnchBact20-01,Campbell Creek,61.177816999999997,-149.825138,1902040106,Campbell Creek,AK_R_2040106_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-02,AnchBact20-02,Campbell Lake - East,61.136145999999997,-149.92546,1902040106,Campbell Lake,AK_L_2040106_003,Lake,Navigable
AKDECWQ,AKDECWQ-AnchBact20-03,AnchBact20-03,Campbell Lake - West,61.130191000000003,-149.956301,1902040106,Campbell Lake,AK_L_2040106_003,Lake,Navigable
AKDECWQ,AKDECWQ-AnchBact20-04,AnchBact20-04,Craig Creek,61.133343000000004,-149.784853,1902040106,Craig Creek,AK_R_2040106_005,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-05,AnchBact20-05,Eagle River,61.310352999999999,-149.576255,1902040103,Eagle River,AK_R_2040103_003_004,River,Navigable
AKDECWQ,AKDECWQ-AnchBact20-06,AnchBact20-06,Fish Creek - N Fork Upper,61.182670000000002,-149.842264,1902040108,Fish Creek,AK_R_2040108_009,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-07,AnchBact20-07,Furrow Creek - Upper,61.108755000000002,-149.842274,1902040107,Furrow Creek,AK_R_2040107_002,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-08,AnchBact20-08,Lake Hood,61.179926000000002,-149.946808,1902040108,Hood/Spenard Lake,AK_L_2040108_063,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-09,AnchBact20-09,Little Rabbit Creek - Upper,61.065215999999999,-149.71607,1902040107,Little Rabbit Creek,AK_R_2040107_003_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-10,AnchBact20-10,Little Survival Creek - Upper,61.060160000000003,-149.746257,1902040107,Little Survival Creek,AK_R_2040107_007,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-11,AnchBact20-11,McHugh Creek,61.017843999999997,-149.731088,1902030207,McHugh Creek,AK_R_2030207_012,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-12,AnchBact20-12,Peters Creek,61.421337999999999,-149.49257,1902040102,Peters Creek,AK_R_2040102_002,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-13,AnchBact20-13,Potter Creek,61.050488000000001,-149.794517,1902040107,Potter Creek,AK_R_2040107_004,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-14,AnchBact20-14,Rabbit Creek,61.084269999999997,-149.825035,1902040107,Rabbit Creek,AK_R_2040107_005,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-15,AnchBact20-15,Rainbow Creek,61.000647999999998,-149.642506,1902030207,Rainbow Creek,AK_R_2030207_018,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-16,AnchBact20-16,Westchester Lagoon - North,61.208092000000001,-149.921283,1902040108,Westchester Lagoon,AK_L_2040108_060,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-17,AnchBact20-17,Westchester Lagoon - South,61.205376999999999,-149.912301,1902040108,Westchester Lagoon,AK_L_2040108_060,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-18,AnchBact20-18,Chester Creek - Mid,61.184617000000003,-149.794537,1902040108,Chester Creek,AK_R_2040108_003,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Cam6,AnchBact20-Cam6,Campbell Creek - Lower,61.139386999999999,-149.92181,1902040106,Campbell Creek,AK_R_2040106_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Che26,AnchBact20-Che26,University Lake - West,61.184924000000002,-149.803826,1902040108,University Lake,AK_L_2040108_055,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Che3,AnchBact20-Che3,Chester Creek - Lower,61.204757000000001,-149.899965,1902040108,Chester Creek,AK_R_2040108_003,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Che33,AnchBact20-Che33,Chester Creek - Upper,61.205741000000003,-149.717616,1902040108,Chester Creek,AK_R_2040108_003,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Che7,AnchBact20-Che7,University Lake - East,61.186343999999998,-149.798528,1902040108,University Lake,AK_L_2040108_055,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-FC11,AnchBact20-FC11,Fish Creek - S Fork Upper,61.179487000000002,-149.930347,1902040108,Fish Creek,AK_R_2040108_009,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-FC7,AnchBact20-FC7,Fish Creek - Lower,61.196384999999999,-149.929546,1902040108,Fish Creek,AK_R_2040108_009,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Fur3,AnchBact20-Fur3,Furrow Creek - Lower,61.105812999999998,-149.881275,1902040107,Furrow Creek,AK_R_2040107_002,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-LRab4,AnchBact20-LRab4,Little Rabbit Creek - Lower,61.080492999999997,-149.789695,1902040107,Little Rabbit Creek,AK_R_2040107_003_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-LSur2,AnchBact20-LSur2,Little Survival Creek - Lower,61.068537999999997,-149.79956,1902040107,Little Survival Creek,AK_R_2040107_007,River,Unknown
AKDECWQ,AKDECWQ-AU01_HSLP,AU01_HSLP,Auke Bay 01,58.382599999999996,-134.654,1901030107,Auke Bay,AK_M_1030107_002,Marine,Navigable
