ASSESSMENT_UNIT_ID,USE_NAME,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG
AK_B_1010204_008,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010204_008,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010204_008,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010204_008,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010204_008,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010204_008,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010205_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010205_001,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010205_001,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010205_001,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010205_001,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010205_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010208_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010208_001,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010208_001,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010208_001,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-05-17,2022-09-01,,,,,
