Active_AUID,Retired_AUID,Historical_AUID
AK_R_2050207_001,AK-20502-001,
AK_R_2050208_003,AK-20502-002,
AK_R_2050209_001,AK-20502-004,
AK_R_2050209_002,AK-20103-009,
AK_R_2050209_009,AK-20502-006,
AK_R_2050209_012,AK-20502-007,
AK_R_2050301_002,AK-20503-001_00,
AK_R_2050306_006,AK-20503-002_00,
AK_R_2050418_003,AK-20504-001_00,
AK_R_2050501_004,AK-20505-008,
AK_R_2050503_003,AK-20503-004,AK-20503-004_00
AK_R_2050503_015,AK-20503-003_00,
AK_R_2050506_017,AK-20505-003_00,
AK_R_2050509_002,AK-20505-010,
AK_R_2050510_009,AK-20505-007_00,
AK_R_2050512_016_003,AK-20505-004_00,
AK_R_2060118_001,AK-20601-003,
AK_R_2060118_002,AK-20601-002,
AK_R_2060118_005,AK-30601-004,
AK_R_2070114_006,AK-20701-001_00,
AK_R_2070115_004,AK-20701-002,AK-20701-002_00
AK_R_2070115_015,AK-20701-003,AK-20701-003_00
AK_R_2070117_002,AK-20701-004,
AK_R_2070215_009,AK-20702-001,
AK_R_2070215_013,AK-20702-002,
AK_R_3010300_001,AK-30103-001_00,
AK_R_3020211_003,AK-30202-001,AK-30202-001_00
AK_R_3020302_001,AK-30203-002_00,
AK_R_3020309_004,AK-30203-001_00,
AK_R_3020311_001_001,AK-30203-003,AK-30203-003_00
AK_R_3020415_002,AK-30204-023_00,
AK_R_3020415_004,AK-30204-001_00,
AK_R_3020415_008,AK-30204-002_00,
AK_R_3020607_001,AK-30206-003,AK-30206-003_00
AK_R_3020609_004,AK-30206-004,
AK_R_3020609_005,AK-30206-002,AK-30206-002_00
AK_R_3020612_001,AK-30206-001,AK-30206-001_00
AK_R_3030210_006,AK-30302-003,AK-30302-003_00
AK_R_3030211_002,AK-30302-001,
AK_R_3030310_001,AK-30304-002_00,
AK_R_3030401_001,AK-30304-003,
AK_R_3030405_013,AK-30304-001_00,
AK_R_3050101_006_008,AK-30501-004,
AK_R_3050101_009,AK-30501-003,
AK_R_3050108_007,AK-30501-002,
AK_R_3050205_003,AK-30502-003_01,
AK_R_3050276_002,AK-30502-001_00,
AK_R_3050284_008,AK-30502-004_00,
AK_R_3050287_010,AK-30502-006,
AK_R_5010100_001,AK-50101-001_00,
AK_R_5010315_018,AK-50104-013,
AK_R_5010412_015,AK-50104-007_00,
AK_R_5010412_051,AK-50104-006_00,
AK_R_5010412_052,AK-50104-001_00,
AK_R_5010416_048,AK-50104-003_00,
AK_R_5010417_003,AK-50104-008_00,
AK_R_5010417_014,AK-50104-010,
AK_R_5010417_016,AK-50104-011,
AK_R_5010417_026,AK-50104-009,
AK_R_5010417_032,AK-50104-012,
AK_R_5010417_038,AK-50104-002_00,
AK_R_5010419_023,AK-50104-004_00,
AK_R_5010421_028,AK-50104-005_00,
AK_R_5030212_006,AK-50302-001,
AK_R_5030408_001,AK-50304-001,AK-50304-001_00
AK_R_5040408_001,AK-50404-001_01,
AK_R_5040408_002,AK-50404-001_02,
AK_R_5040408_003,AK-50404-002_00,
AK_R_5040409_002,AK-50404-003,AK-50404-003_00
AK_R_6030319_002,AK-60303-001_00,
AK_R_6040113_001,AK-60401-001_00,
AK_R_6040216_002,AK-60402-001_00,
AK_R_7040202_010,AK-70402-006,
AK_R_7040204_005,AK-70402-007,
AK_R_7040215_004,AK-70402-004,
AK_R_7040215_007,AK-70402-003,
AK_R_7040216_001,AK-70402-002,
AK_R_7040216_004,AK-70402-005,
AK_R_7040217_004,AK-70402-001,
AK_R_7050222_010,AK-40104-001_00,
AK_R_7050506_013,AK-70505-001,
AK_R_7050603_003,AK-70506-001,
